FECHA;Al04TMax;Al04TMin;Al04TMed;Al04Precip 
dd-mm-yy; ºC; ºC, ºC; mm
31-12-15;17.9;2.0;9.6;0.0
30-12-15;20.0;3.0;10.4;0.2
29-12-15;18.7;3.6;10.1;0.0
29-12-15;18.7;3.4;9.7;0.0
28-12-15;17.7;4.6;10.4;0.0
27-12-15;15.3;3.2;9.5;0.2
26-12-15;15.8;4.3;9.4;0.2
25-12-15;16.2;2.2;8.8;0.0
24-12-15;16.7;3.2;8.9;0.2
23-12-15;16.2;6.1;9.7;0.2
22-12-15;16.1;5.7;10.3;0.0
21-12-15;17.3;3.0;9.4;0.0
20-12-15;20.8;3.5;10.9;0.0
19-12-15;22.4;4.7;11.7;0.0
18-12-15;22.9;5.7;12.3;0.0
17-12-15;21.2;5.4;12.2;0.0
16-12-15;23.8;5.3;12.8;0.0
15-12-15;21.5;3.1;11.0;0.0
14-12-15;19.8;3.8;10.1;0.2
13-12-15;17.5;3.8;9.4;0.0
12-12-15;15.5;5.5;10.1;0.0
11-12-15;15.2;9.1;11.8;0.0
10-12-15;16.1;10.6;12.7;0.0
09-12-15;16.1;6.5;11.8;0.0
08-12-15;18.9;4.6;10.5;0.0
07-12-15;16.1;4.0;10.1;0.0
06-12-15;15.7;6.6;10.8;0.2
05-12-15;18.3;4.7;10.0;0.0
04-12-15;19.6;4.4;10.9;0.2
03-12-15;18.3;4.7;10.8;0.0
02-12-15;19.7;3.2;9.9;0.0
01-12-15;19.7;1.9;9.5;0.2
30-11-15;17.5;2.5;8.7;0.0
29-11-15;16.8;3.9;9.3;0.2
28-11-15;19.9;2.7;9.8;0.0
27-11-15;18.5;4.3;10.9;0.0
26-11-15;22.5;6.7;14.8;0.0
25-11-15;18.2;0.7;9.7;0.0
24-11-15;14.4;-1.4;5.9;0.2
23-11-15;13.8;-0.6;6.5;1.0
22-11-15;14.8;2.5;9.4;0.0
21-11-15;22.4;10.3;16.9;0.4
20-11-15;23.5;7.1;14.1;0.0
19-11-15;22.9;4.9;12.4;0.2
18-11-15;20.4;5.5;12.1;0.2
17-11-15;22.4;6.0;12.5;0.0
16-11-15;22.1;5.9;13.2;0.2
15-11-15;20.7;8.5;14.2;0.0
14-11-15;19.0;9.7;13.9;0.0
13-11-15;19.5;7.7;13.1;0.0
12-11-15;19.0;6.1;11.3;0.2
11-11-15;22.1;7.1;13.7;0.2
10-11-15;23.5;7.7;14.3;0.2
09-11-15;21.5;7.3;13.9;0.2
08-11-15;19.6;8.7;13.5;0.2
07-11-15;20.9;9.9;14.8;0.0
06-11-15;22.5;9.7;15.4;0.2
05-11-15;22.2;9.7;15.0;0.0
04-11-15;22.5;11.1;15.5;0.2
03-11-15;20.6;6.7;13.7;0.0
02-11-15;16.6;7.5;12.4;6.8
01-11-15;19.3;14.0;16.0;8.4
31-10-15;19.1;11.2;15.3;0.2
30-10-15;21.3;10.3;15.2;0.0
29-10-15;20.8;7.9;14.1;0.0
28-10-15;21.1;7.5;14.3;0.0
27-10-15;21.4;11.0;15.7;0.2
26-10-15;17.6;12.3;14.5;18.4
25-10-15;17.2;13.9;15.1;0.6
24-10-15;16.8;12.3;14.6;0.0
23-10-15;23.5;9.7;15.9;0.2
22-10-15;20.8;8.0;14.6;0.2
21-10-15;22.8;13.1;16.2;0.2
20-10-15;20.5;15.1;16.7;11.8
19-10-15;23.7;12.6;17.6;0.2
18-10-15;23.5;12.2;17.8;8.8
17-10-15;24.4;12.5;18.0;0.2
16-10-15;23.9;12.4;17.1;0.0
15-10-15;24.3;10.8;17.4;0.0
14-10-15;23.9;13.8;17.8;0.0
13-10-15;24.7;13.6;19.0;0.0
12-10-15;26.0;11.3;18.7;0.0
11-10-15;26.4;11.1;18.7;0.0
10-10-15;24.4;9.7;16.8;0.0
09-10-15;21.8;10.7;16.5;0.0
08-10-15;23.0;13.1;17.4;0.0
07-10-15;25.2;12.0;18.3;0.0
06-10-15;29.1;15.3;23.0;0.0
05-10-15;31.5;17.7;24.3;0.0
04-10-15;32.8;13.4;22.0;0.0
03-10-15;27.8;15.7;20.9;0.0
02-10-15;28.2;10.8;19.4;0.0
01-10-15;26.1;11.2;18.2;0.0
30-09-15;23.7;10.8;16.4;0.6
29-09-15;19.7;13.5;16.7;0.6
28-09-15;23.5;12.7;17.9;0.0
27-09-15;26.6;12.3;18.6;0.0
26-09-15;28.3;11.8;19.9;0.0
25-09-15;28.1;11.2;19.2;0.0
24-09-15;25.1;13.8;20.0;0.0
23-09-15;27.7;13.8;21.1;0.0
22-09-15;32.6;17.1;24.7;0.0
21-09-15;30.9;15.1;21.6;0.0
20-09-15;27.7;13.9;20.0;0.0
